2020_rank,name,2020_net_worth,2020_age,2020_country,2020_source,2020_broad_source
514,lee yeow chor & yeow seng,3.6,,malaysia,palm oil,property
514,lin shu-hong,3.6,91,taiwan,petrochemicals,manufacturing
514,shigenobu nagamori,3.6,75,japan,motors,manufacturing
514,nie tengyun & family,3.6,44,china,logistics,service
514,rodger riney & family,3.6,74,united states,discount brokerage,finance & investments
514,gary rollins,3.6,75,united states,pest control,service
514,alexandra schoerghuber,3.6,61,germany,real estate,real estate
514,thomas siebel,3.6,67,united states,business software,technology
514,lynsi snyder,3.6,37,united states,in-n-out burger,food & beverage
514,steven spielberg,3.6,73,united states,movies,media & entertainment
514,donald sterling,3.6,85,united states,real estate,real estate
514,rita tong liu,3.6,71,hong kong,real estate,real estate
514,roger wang,3.6,71,united states,retail,fashion & retail
514,randa duncan williams,3.6,58,united states,pipelines,energy
514,aloys wobben,3.6,68,germany,wind turbines,energy
538,ben ashkenazy,3.5,50,united states,real estate,real estate
538,ursula bechtolsheimer-kipp,3.5,68,germany,retail,real estate
538,vincent bolloré & family,3.5,68,france,investments,finance & investments
538,jaran chiaravanont,3.5,90,thailand,diversified,diversified
538,hasmukh chudgar,3.5,86,india,pharmaceuticals,healthcare
538,dulce pugliese de godoy bueno,3.5,72,brazil,hospitals,health care
538,murali divi & family,3.5,69,india,pharmaceuticals,healthcare
538,amos hostetter jr,3.5,83,united states,cable television,cable television
538,montri jiaravanont,3.5,89,thailand,diversified,diversified
538,min kao & family,3.5,71,united states,navigation equipment,technology
538,igor kesaev,3.5,53,russia,tobacco distribution,retail
538,patrick lee,3.5,78,hong kong,paper,manufacturing
538,douglas leone,3.5,62,united states,venture capital,finance & investments
538,lin bin,3.5,52,united states,smartphones,technology
538,gabe newell,3.5,57,united states,videogames,gambling & casinos
538,prajogo pangestu,3.5,75,indonesia,petrochemicals,diversified
538,anthony pritzker,3.5,59,united states,hotels,investments
538,randall rollins,3.5,88,united states,pest control,service
538,henry samueli,3.5,65,united states,semiconductors,technology
538,charles simonyi,3.5,71,united states,microsoft,technology
538,paul singer,3.5,75,united states,hedge funds,finance & investments
538,david steward,3.5,68,united states,it provider,technology
538,teh hong piow,3.5,90,malaysia,banking,finance & investments
538,frank vandersloot,3.5,71,united states,nutrition,wellness products
538,m.a. yusuff ali,3.5,64,india,retail,fashion & retail
538,zhang hongwei,3.5,65,china,oil,banking
538,zhang xin & pan shiyi,3.5,54,china,real estate,real estate
565,kapil & rahul bhatia,3.4,,india,airlines,service
565,richard branson,3.4,69,united kingdom,virgin,diversified
565,rick caruso,3.4,61,united states,real estate,real estate
565,bubba cathy,3.4,65,united states,chick-fil-a,food & beverage
565,dan cathy,3.4,67,united states,chick-fil-a,food & beverage
565,mahendra choksi & family,3.4,78,india,paints,manufacturing
565,dong wei,3.4,49,china,pharmaceuticals,healthcare
565,pavel durov,3.4,35,russia,messaging app,technology
565,juan carlos escotet,3.4,60,venezuela,banking,finance & investments
565,sergei galitsky,3.4,52,russia,retail,fashion & retail
565,jaime gilinski bacal,3.4,62,colombia,banking,finance & investments
565,pansy ho,3.4,57,hong kong,casinos,gambling & casinos
565,huang rulun,3.4,68,china,real estate,real estate
565,daniel kretinsky,3.4,44,czechia,energy,investments
565,miguel krigsner,3.4,70,brazil,cosmetics,fashion & retail
565,ludwig merckle,3.4,55,germany,pharmaceuticals,finance & investments
590,lin xiucheng & family,3.3,64,china,electronics,technology
590,winifred j. marquart,3.3,61,united states,cleaning products,manufacturing
590,mohamed mansour,3.3,72,egypt,diversified,diversified
590,john middleton,3.3,65,united states,tobacco,food & beverage
590,arnon milchan,3.3,75,israel,movie making,media & entertainment
590,arturo moreno,3.3,73,united states,billboards,anaheim angels
590,michael otto,3.3,76,germany,retail,real estate
590,alexander ponomarenko,3.3,55,russia,real estate,airport
590,dirk rossmann & family,3.3,73,germany,drugstores,fashion & retail
590,shi yonghong & family,3.3,51,china,restaurants,food & beverage
590,alexander skorobogatko,3.3,52,russia,real estate,airport
590,anthony von mandl,3.3,,canada,alcoholic beverages,food & beverage
590,meg whitman,3.3,63,united states,ebay,technology
590,christoph zeller,3.3,62,liechtenstein,dental implants,healthcare
616,andrej babis,3.2,65,czechia,agriculture,food & beverage
616,gayle benson,3.2,73,united states,pro sports teams,sports
616,bert beveridge,3.2,58,united states,vodka,food & beverage
616,charles cohen,3.2,68,united states,real estate,real estate
616,john collison,3.2,29,ireland,payments software,technology
616,patrick collison,3.2,31,ireland,payment software,technology
616,leon g. cooperman,3.2,76,united states,hedge funds,finance & investments
616,yakir gabay,3.2,53,cyprus,real estate,real estate
616,tom golisano,3.2,78,united states,payroll services,service
616,jonathan gray,3.2,50,united states,investments,finance & investments
616,martin haefner,3.2,66,switzerland,software,investments
616,jeremy jacobs sr. & family,3.2,80,united states,food service,
616,jiang bin,3.2,53,china,acoustic components,technology
616,rupert johnson jr,3.2,79,united states,money management,
616,daryl katz,3.2,58,canada,pharmacies,diversified
616,ken langone,3.2,84,united states,investments,finance & investments
616,guenther lehmann & family,3.2,,germany,drugstores,fashion & retail
616,james leprino,3.2,82,united states,cheese,food & beverage
616,li haiyan,3.2,,china,restaurants,food & beverage
616,ronald mcaulay,3.2,84,hong kong,energy,energy
616,masahiro miki,3.2,64,japan,shoes,fashion & retail
616,john morris,3.2,72,united states,sporting goods retail,fashion & retail
616,hans georg naeder,3.2,58,germany,prosthetics,manufacturing
616,paolo & gianfelice mario rocca,3.2,,italy,pipe manufacturing,metals & mining
616,marc rowan,3.2,57,united states,private equity,finance & investments
616,yitzhak tshuva,3.2,71,israel,real estate,real estate
616,tung chee chen,3.2,77,hong kong,shipping,logistics
616,chip wilson,3.2,63,canada,lululemon,fashion & retail
616,xu jingren,3.2,75,china,pharmaceuticals,healthcare
616,denise york & family,3.2,69,united states,san francisco 49ers,sports
616,zhan micree,3.2,41,china,cryptocurrency mining chips,technology
616,zhang wenzhong,3.2,58,china,supermarkets,fashion & retail
648,anil agarwal & family,3.1,66,india,mining,metals
648,igor altushkin,3.1,49,russia,metals,metals & mining
648,alain bouchard,3.1,71,canada,retail,fashion & retail
648,dmitry bukhman,3.1,34,russia,online games,media & entertainment
648,igor bukhman,3.1,38,russia,online games,media & entertainment
648,john paul dejoria,3.1,75,united states,hair products,tequila
648,gustavo denegri,3.1,83,italy,biotech,healthcare
648,bernard ecclestone & family,3.1,89,united kingdom,formula one,sports
648,allan goldman,3.1,77,united states,real estate,real estate
648,jane goldman,3.1,64,united states,real estate,real estate
648,amy goldman fowler,3.1,65,united states,real estate,real estate
648,thomas hagen,3.1,84,united states,insurance,finance & investments
648,don hankey,3.1,76,united states,auto loans,finance & investments
648,peter hargreaves,3.1,73,united kingdom,financial services,finance & investments
648,huang li,3.1,56,china,imaging systems,technology
648,erman ilicak,3.1,52,turkey,construction,construction & engineering
648,masatoshi ito,3.1,95,japan,retail,fashion & retail
648,diane kemper,3.1,74,united states,real estate,real estate
648,karel komarek,3.1,51,czechia,oil and gas,it
648,lu xiangyang,3.1,57,china,automobiles,batteries
648,daniel och,3.1,59,united states,hedge funds,finance & investments
648,park yeon-cha,3.1,74,south korea,sneakers,manufacturing
648,karsanbhai patel,3.1,76,india,consumer goods,diversified
648,thomas pritzker,3.1,69,united states,hotels,investments
648,nicolas puech,3.1,77,france,hermes,fashion & retail
648,edward roski jr,3.1,81,united states,real estate,
648,john sall,3.1,72,united states,software,technology
648,chairul tanjung,3.1,57,indonesia,diversified,diversified
648,abhay vakil & family,3.1,69,india,paints,manufacturing
648,wu zhigang & family,3.1,85,china,bakery chain,food & beverage
648,steve wynn,3.1,78,united states,casinos,hotels
648,yi zheng,3.1,49,china,software,technology
680,carl bennet,3,68,sweden,investments,finance & investments
680,martin & olivier bouygues,3,,france,construction,media
680,orlando bravo,3,49,united states,private equity,finance & investments
680,john brown,3,85,united states,medical equipment,healthcare
680,giuseppe de'longhi & family,3,80,italy,coffee makers,fashion & retail
680,rafael del pino y calvo-sotelo,3,61,spain,construction,construction & engineering
680,barry diller,3,78,united states,online media,media & entertainment
680,bennett dorrance,3,74,united states,campbell soup,food & beverage
680,fang wei,3,46,china,steel,manufacturing
680,piero ferrari,3,74,italy,automobiles,automotive
680,fu liquan & family,3,52,china,surveillance equipment,technology
680,christian haub,3,55,germany,retail,fashion & retail
680,heidi horten,3,79,austria,retail,fashion & retail
680,james irsay,3,60,united states,indianapolis colts,sports
680,thai lee,3,61,united states,it provider,technology
680,angela leong,3,59,hong kong,casinos,real estate
680,li liufa & family,3,62,china,steel,diversified
680,joseph liemandt,3,51,united states,software,technology
680,tobi lutke,3,39,canada,e-commerce,technology
680,gwendolyn sontheim meyer,3,58,united states,cargill,food & beverage
680,benjamin zhengmin pan & family,3,50,china,electronics,technology
680,carrie perrodo & family,3,69,france,oil,energy
680,ira rennert,3,85,united states,investments,finance & investments
680,naguib sawiris,3,65,egypt,telecom,telecom
680,howard schultz,3,66,united states,starbucks,food & beverage
680,thomas secunda,3,65,united states,bloomberg lp,media & entertainment
680,eric smidt,3,60,united states,hardware stores,fashion & retail
680,barry sternlicht,3,59,united states,private equity,finance & investments
680,suh kyung-bae,3,57,south korea,cosmetics,fashion & retail
680,william wrigley jr,3,56,united states,chewing gum,
680,michael minhong yu,3,58,china,education,service
680,yu yong,3,59,china,mining,finance & investments
712,juan abello,2.9,78,spain,investments,finance & investments
712,richard chandler,2.9,61,new zealand,investments,finance & investments
712,chen jianhua,2.9,49,china,chemicals,manufacturing
712,pierre chen,2.9,63,taiwan,electronics,technology
712,scott cook,2.9,67,united states,software,technology
712,daniel d'aniello,2.9,73,united states,private equity,finance & investments
712,andre esteves,2.9,51,brazil,banking,finance & investments
712,john gandel,2.9,85,australia,shopping malls,real estate
712,michael hintze,2.9,66,australia,investment,finance & investments
712,steven klinsky,2.9,63,united states,investments,finance & investments
712,kwon hyuk-bin,2.9,46,south korea,online games,technology
712,hans langer,2.9,68,germany,3d printing,manufacturing
712,rudolf maag,2.9,74,switzerland,medical devices,healthcare
712,masahiro noda,2.9,81,japan,software,technology
712,denis o'brien,2.9,61,ireland,telecom,telecom
712,dan olsson,2.9,73,sweden,diversified,diversified
712,pankaj patel,2.9,67,india,pharmaceuticals,healthcare
712,abdulsamad rabiu,2.9,59,nigeria,cement,sugar
712,michael rubin,2.9,47,united states,online retail,fashion & retail
712,patrick ryan,2.9,82,united states,insurance,finance & investments
712,bernard saul ii.,2.9,87,united states,banking,
712,mark shoen,2.9,69,united states,u-haul,automotive
712,su hua,2.9,38,china,video streaming,media & entertainment
712,glen taylor,2.9,78,united states,printing,service
712,wang zhendong,2.9,43,china,education,service
712,hans peter wild,2.9,78,switzerland,flavorings,food & beverage
712,wong luen hei,2.9,58,china,building materials,manufacturing
712,xue xiangdong & family,2.9,61,china,software,technology
712,takao yasuda,2.9,70,japan,retail,fashion & retail
712,zheng shuliang & family,2.9,74,china,aluminum products,metals & mining
712,zhou jianping,2.9,59,china,fashion retail,fashion & retail
743,pierre bellon & family,2.8,90,france,food services,service
743,juergen blickle,2.8,73,germany,auto parts,manufacturing
743,jay chaudhry,2.8,60,united states,security software,technology
743,otto happel,2.8,72,germany,engineering,construction & engineering
743,james jannard,2.8,70,united states,sunglasses,fashion & retail
743,kim beom-su,2.8,54,south korea,online services,technology
743,timur kulibaev,2.8,53,kazakhstan,banking,finance & investments
743,dinara kulibaeva,2.8,52,kazakhstan,banking,finance & investments
743,richard lefrak & family,2.8,74,united states,real estate,real estate
743,daniel loeb,2.8,58,united states,hedge funds,finance & investments
743,stephen mandel jr,2.8,64,united states,hedge funds,
743,joe mansueto,2.8,63,united states,investment research,finance & investments
743,philip niarchos,2.8,66,greece,art collection,diversified
743,maja oeri,2.8,65,switzerland,pharmaceuticals,healthcare
743,or wai sheun,2.8,68,hong kong,real estate,real estate
743,clive palmer,2.8,66,australia,mining,metals & mining
743,qiu guanghe & family,2.8,68,china,fashion retail,fashion & retail
743,arkady rotenberg,2.8,68,russia,construction,pipes
743,david rubenstein,2.8,70,united states,private equity,finance & investments
743,su suyu & family,2.8,71,china,utilities,real estate
743,zhang tao,2.8,47,china,e-commerce,fashion & retail
764,anthony bamford & family,2.7,74,united kingdom,construction equipment,construction & engineering
764,bernard broermann,2.7,76,germany,hospitals,healthcare
764,alejandro bulgheroni,2.7,75,argentina,oil & gas,energy
764,austen cargill ii.,2.7,69,united states,cargill,
764,james cargill ii.,2.7,71,united states,cargill,
764,vanich chaiyawan,2.7,88,thailand,insurance,beverages
764,william conway jr,2.7,70,united states,private equity,
764,ralph dommermuth,2.7,56,germany,internet service provider,technology
764,feng hailiang,2.7,59,china,copper,education
764,jimmy haslam,2.7,66,united states,gas stations,retail
764,georg haub,2.7,58,germany,retail,fashion & retail
764,zarakh iliev,2.7,53,russia,real estate,real estate
764,jason jiang,2.7,47,china,advertising,media & entertainment
764,ke zunhong & family,2.7,65,china,pharmaceuticals,healthcare
764,peter kellogg,2.7,77,united states,investments,finance & investments
764,nathan kirsh,2.7,88,eswatini (swaziland),retail,real estate
764,eric lefkofsky,2.7,50,united states,groupon,technology
764,li zhongchu,2.7,56,china,software,technology
764,marianne liebmann,2.7,66,united states,cargill,food & beverage
764,martin lorentzon,2.7,51,sweden,spotify,technology
764,jeffrey lurie,2.7,68,united states,philadelphia eagles,sports
764,drayton mclane jr,2.7,83,united states,walmart,
764,erwin franz mueller,2.7,87,germany,drugstores,fashion & retail
764,henry nicholas iii.,2.7,60,united states,semiconductors,
764,god nisanov,2.7,47,russia,real estate,real estate
764,sean parker,2.7,40,united states,facebook,technology
764,bob parsons,2.7,69,united states,web hosting,technology
764,horst julius pudwill,2.7,75,germany,manufacturing,manufacturing
764,chandru raheja,2.7,79,india,real estate,real estate
764,antony ressler,2.7,58,united states,finance,finance & investments
764,haim saban,2.7,75,united states,tv network,investments
764,shu ping,2.7,50,singapore,restaurants,food & beverage
764,fred smith,2.7,75,united states,fedex,logistics
764,jon stryker,2.7,61,united states,medical equipment,healthcare
764,sun huaiqing & family,2.7,50,china,cosmetics,fashion & retail
764,richard tsai,2.7,62,taiwan,finance,finance & investments
764,bulat utemuratov,2.7,62,kazakhstan,mining,banking
764,don vultaggio & family,2.7,68,united states,beverages,food & beverage
764,mark walter,2.7,59,united states,finance,finance & investments
764,samuel yin,2.7,69,taiwan,retail,diversified
804,clifford asness,2.6,53,united states,money management,finance & investments
804,william berkley,2.6,73,united states,insurance,finance & investments
804,eva maria bucher-haefner,2.6,63,switzerland,software,investments
804,jim coulter,2.6,60,united states,private equity,finance & investments
804,jim davis,2.6,60,united states,staffing & recruiting,service
804,john dorrance iii.,2.6,76,ireland,campbell soup,
804,jack dorsey,2.6,43,united states,twitter,square
804,ivan glasenberg,2.6,63,switzerland,mining,metals & mining
804,noam gottesman,2.6,58,united states,hedge funds,finance & investments
804,john henry,2.6,70,united states,sports,sports
804,hu baifan,2.6,57,china,pharmaceuticals,healthcare
804,b. wayne hughes,2.6,86,united states,self storage,service
804,travis kalanick,2.6,43,united states,uber,technology
804,kuan kam hon & family,2.6,72,malaysia,synthetic gloves,manufacturing
804,raj kumar & kishin rk,2.6,65,singapore,real estate,real estate
804,chris larsen,2.6,59,united states,cryptocurrency,finance & investments
804,michel leclercq & family,2.6,80,france,sporting goods,fashion & retail
804,lu zhiqiang,2.6,67,china,real estate,real estate
804,kiran mazumdar-shaw,2.6,67,india,biotech,healthcare
804,pawan munjal & family,2.6,66,india,motorcycles,automotive
804,georg nemetschek & family,2.6,86,germany,software,technology
804,michael pieper,2.6,74,switzerland,kitchen appliances,manufacturing
804,sebastian piñera & family,2.6,70,chile,investments,finance & investments
804,john pritzker,2.6,66,united states,hotels,investments
804,sumner redstone,2.6,96,united states,media,media & entertainment
804,dan snyder,2.6,55,united states,washington redskins,sports
804,thomas straumann,2.6,56,switzerland,dental implants,healthcare
804,lawrence stroll,2.6,60,canada,fashion investments,fashion & retail
804,ivar tollefsen,2.6,58,norway,real estate,real estate
804,tsai hong-tu,2.6,67,taiwan,finance,finance & investments
804,ty warner,2.6,75,united states,real estate,plush toys
804,zhang li,2.6,67,china,real estate,real estate
836,brian acton,2.5,48,united states,whatsapp,technology
836,michael ashley,2.5,55,united kingdom,sports retailing,fashion & retail
836,rainer blickle,2.5,72,germany,auto parts,manufacturing
836,john caudwell,2.5,67,united kingdom,mobile phones,telecom
836,jason chang,2.5,75,singapore,electronics,technology
836,choo chong ngen,2.5,66,singapore,hotels,real estate
836,mong-koo chung,2.5,82,south korea,hyundai,automotive
836,martin ebner,2.5,74,switzerland,investments,finance & investments
836,archie aldis emmerson & family,2.5,90,united states,timberland,lumber mills
836,judy faulkner,2.5,76,united states,health it,technology
836,philippe foriel-destezet,2.5,84,france,employment agency,service
836,bob gaglardi,2.5,79,canada,hotels,real estate
836,luca garavoglia,2.5,51,italy,spirits,food & beverage
836,peter gassner,2.5,55,united states,software,technology
836,huang yi,2.5,58,hong kong,car dealerships,automotive
836,johnelle hunt,2.5,88,united states,trucking,logistics
836,arthur irving,2.5,90,canada,oil,energy
836,samvel karapetyan,2.5,54,russia,real estate,construction & engineering
836,kwek leng beng,2.5,79,singapore,diversified,diversified
836,geoffrey kwok,2.5,34,hong kong,real estate,real estate
836,maritsa lazari & family,2.5,75,united kingdom,real estate,real estate
836,li shuirong,2.5,63,china,petrochemicals,manufacturing
836,li sze lim,2.5,63,hong kong,real estate,real estate
836,liu zhongtian & family,2.5,56,china,aluminum products,manufacturing
836,sergio mantegazza,2.5,92,switzerland,travel,service
836,ravi pillai,2.5,66,india,construction,construction & engineering
836,penny pritzker,2.5,60,united states,hotels,investments
836,renzo rosso & family,2.5,64,italy,fashion,fashion & retail
836,robert rowling,2.5,66,united states,hotels,investments
836,phil ruffin,2.5,85,united states,casinos,real estate
836,herb simon,2.5,85,united states,real estate,real estate
836,mark stevens,2.5,60,united states,venture capital,finance & investments
836,sun shoukuan,2.5,70,china,metals,coal
836,alan trefler,2.5,64,united states,software,technology
836,tsai cheng-ta,2.5,70,taiwan,finance,finance & investments
836,tung chee hwa,2.5,82,hong kong,shipping,logistics
836,peter unger,2.5,75,germany,auto repair,automotive
836,oprah winfrey,2.5,66,united states,tv shows,media & entertainment
836,mortimer zuckerman,2.5,82,united states,real estate,media
875,rinat akhmetov,2.4,53,ukraine,steel,coal
875,george bishop,2.4,82,united states,oil & gas,energy
875,norman braman,2.4,87,united states,art,car dealerships
875,jean coutu & family,2.4,92,canada,drugstores,fashion & retail
875,alexander frolov,2.4,55,russia,mining,steel
875,rakesh gangwal,2.4,66,united states,airline,service
875,ernest garcia ii.,2.4,62,united states,used cars,
875,paul gauselmann & family,2.4,85,germany,gambling,gambling & casinos
875,harold hamm & family,2.4,74,united states,oil & gas,energy
875,edward johnson iv.,2.4,55,united states,money management,
875,elizabeth johnson,2.4,56,united states,money management,finance & investments
875,brad kelley,2.4,63,united states,tobacco,real estate
875,alicia koplowitz,2.4,66,spain,construction,investments
875,kwek leng kee,2.4,65,singapore,diversified,diversified
875,liang xinjun,2.4,52,china,conglomerate,diversified
875,liu hanyuan,2.4,56,china,agribusiness,food & beverage
875,liu jincheng & family,2.4,55,china,lithium batteries,technology
875,c. dean metropoulos,2.4,73,united states,investments,food & beverage
875,richard peery,2.4,81,united states,real estate,real estate
875,pei zhenhua,2.4,61,china,batteries,energy
875,prasert prasarttong-osoth,2.4,87,thailand,hospitals,healthcare
875,alberto roemmers,2.4,93,argentina,pharmaceuticals,healthcare
875,jeff rothschild,2.4,65,united states,facebook,technology
875,vijay shekhar sharma,2.4,41,india,financial technology,service
875,e. joe shoen,2.4,70,united states,u-haul,automotive
875,shum chiu hung & family,2.4,50,china,real estate,real estate
875,zygmunt solorz-zak,2.4,63,poland,tv broadcasting,media & entertainment
875,katsumi tada,2.4,74,japan,real estate,real estate
875,daniel tsai,2.4,63,taiwan,finance,finance & investments
875,herbert wertheim,2.4,80,united states,investments,finance & investments
875,jerry yang,2.4,51,united states,yahoo,technology
875,michael ying,2.4,70,hong kong,retail,fashion & retail
875,zhang daocai,2.4,70,china,valves,diversified
908,ron baron,2.3,76,united states,money management,finance & investments
908,yvonne bauer,2.3,43,germany,media,media & entertainment
908,otto philipp braun,2.3,42,germany,medical technology,healthcare
908,jim breyer,2.3,58,united states,venture capital,technology
908,charles bronfman,2.3,88,canada,liquor,food & beverage
908,vivek chand burman,2.3,82,india,consumer goods,food & beverage
908,cai dongchen,2.3,67,china,pharmaceuticals,healthcare
908,andrew & peggy cherng,,2.3,united states,restaurants,food & beverage
908,oleg deripaska,2.3,52,russia,aluminum,utilities
908,abilio dos santos diniz,2.3,83,brazil,retail,fashion & retail
908,dong fan,2.3,50,china,medical devices,healthcare
908,chang-woo han & family,2.3,89,japan,pachinko parlors,gambling & casinos
908,hortensia herrero,2.3,69,spain,supermarkets,fashion & retail
908,ravi jaipuria,2.3,65,india,soft drinks,food & beverage
908,viktor kharitonin,2.3,47,russia,pharmaceuticals,healthcare
908,kurt krieger,2.3,72,germany,furniture retailing,fashion & retail
908,lin ming-hsiung,2.3,70,taiwan,supermarkets,fashion & retail
908,liu ming hui,2.3,57,china,natural gas distribution,energy
908,charles zhengyao lu,2.3,50,china,coffee chain,car rentals
908,alexander mamut,2.3,60,russia,investments,finance & investments
908,clayton mathile,2.3,79,united states,pet food,food & beverage
908,james packer,2.3,52,australia,casinos,gambling & casinos
908,daniel pritzker,2.3,60,united states,hotels,investments
908,jean (gigi) pritzker,2.3,57,united states,hotels,investments
908,stewart rahr,2.3,74,united states,drug distribution,healthcare
908,ferit faik sahenk,2.3,56,turkey,diversified,diversified
908,jean salata,2.3,54,chile,finance,finance & investments
908,richard sands,2.3,69,united states,liquor,food & beverage
908,stephan schmidheiny,2.3,72,switzerland,investments,finance & investments
908,gil shwed,2.3,51,israel,software,technology
908,warren stephens,2.3,63,united states,investment banking,finance & investments
908,peter thiel,2.3,52,united states,facebook,palantir
908,maximilian viessmann,2.3,,germany,heating and cooling equipment,manufacturing
908,david walentas,2.3,81,united states,real estate,real estate
908,wang yanqing & family,2.3,54,china,electrical equipment,manufacturing
908,gustav magnar witzoe,2.3,26,norway,fish farming,food & beverage
908,ye chenghai & family,2.3,76,hong kong,pharmaceuticals,healthcare
945,patrizio bertelli,2.2,74,italy,luxury goods,fashion & retail
945,cheng yixiao,2.2,,china,video streaming app,media & entertainment
945,ben chestnut,2.2,45,united states,email marketing,technology
945,todd christopher,2.2,57,united states,hair care products,fashion & retail
945,james clark,2.2,76,united states,netscape,investments
945,james dinan,2.2,60,united states,hedge funds,finance & investments
945,bergit douglas,2.2,73,germany,consumer goods,food & beverage
945,doris fisher,2.2,88,united states,gap,fashion & retail
945,lindsay fox,2.2,82,australia,logistics,real estate
945,gao dekang & family,2.2,68,china,apparel,fashion & retail
945,philippe ginestet,2.2,66,france,retail stores,fashion & retail
945,mitchell goldhar,2.2,58,canada,real estate,real estate
945,joseph grendys,2.2,58,united states,poultry processing,food & beverage
945,hans-werner hector,2.2,80,germany,sap,technology
945,jeffery hildebrand,2.2,61,united states,oil,energy
945,huang zhenda & family,2.2,72,china,construction,construction & engineering
945,micky jagtiani,2.2,68,india,retail,fashion & retail
945,jiang weiping & family,2.2,65,china,chemicals,manufacturing
945,bruce karsh,2.2,64,united states,private equity,finance & investments
945,jim kavanaugh,2.2,57,united states,it provider,technology
945,dan kurzius,2.2,48,united states,email marketing,technology
945,william lauder,2.2,59,united states,estee lauder,fashion & retail
945,li zhenguo & family,2.2,52,china,photovoltaics,manufacturing
945,scott lin,2.2,87,taiwan,optical components,technology
945,harald link,2.2,65,thailand,diversified,diversified
945,yasseen mansour,2.2,58,egypt,diversified,diversified
945,mao lixiang & family,2.2,79,china,cooking appliances,technology
945,howard marks,2.2,73,united states,private equity,finance & investments
945,gilles martin,2.2,56,france,laboratory services,healthcare
945,taha mikati,2.2,75,lebanon,telecom,telecom
945,farhad moshiri,2.2,64,united kingdom,diversified,diversified
945,alexander nesis,2.2,57,russia,metals,banking
945,alfred oetker,2.2,53,germany,consumer goods,fashion & retail
945,august oetker,2.2,76,germany,consumer goods,fashion & retail
945,carl ferdinand oetker,2.2,47,germany,consumer goods,fashion & retail
945,christian oetker,2.2,71,germany,consumer goods,fashion & retail
945,julia oetker,2.2,41,germany,consumer goods,fashion & retail
945,richard oetker,2.2,69,germany,consumer goods,fashion & retail
945,ou zongrong & family,2.2,56,china,real estate,real estate
945,pan weiming,2.2,56,china,real estate,real estate
945,miuccia prada,2.2,70,italy,luxury goods,fashion & retail
945,shashi & ravi ruia,2.2,,india,diversified,diversified
945,rosely schweizer,2.2,79,germany,consumer goods,fashion & retail
945,brian sheth,2.2,44,united states,investments,finance & investments
945,kavitark ram shriram,2.2,63,united states,venture capital,google
945,sze man bok,2.2,70,china,hygiene products,manufacturing
945,tang yiu,2.2,86,hong kong,fashion retail,fashion & retail
945,arvind tiku,2.2,50,india,oil & gas,investments
945,tong jinquan,2.2,65,china,real estate,real estate
945,t.y. tsai,2.2,67,taiwan,finance,finance & investments
945,kelcy warren,2.2,64,united states,pipelines,energy
945,wu shaoxun,2.2,64,china,wine,food & beverage
945,jon yarbrough,2.2,62,united states,video games,gambling & casinos
945,barry zekelman,2.2,53,canada,steel,manufacturing
945,zhang xuezheng,2.2,44,china,telecom,technology
945,zuo hui,2.2,49,china,real estate services,real estate
1001,abdulla al futtaim & family,2.1,,united arab emirates,auto dealers,investments
1001,john arrillaga,2.1,83,united states,real estate,real estate
1001,bill austin,2.1,78,united states,hearing aids,manufacturing
1001,suhail bahwan,2.1,81,oman,diversified,diversified
1001,joesley batista,2.1,48,brazil,beef processing,food & beverage
1001,wesley batista,2.1,47,brazil,beef packing,food & beverage
1001,chen jinxia,2.1,52,china,investments,finance & investments
1001,chen kaixuan,2.1,61,china,household chemicals,manufacturing
1001,chen xueli,2.1,68,china,pharmaceuticals,healthcare
1001,chi yufeng,2.1,49,china,software,technology
1001,john coates,2.1,50,united kingdom,online gambling,gambling & casinos
1001,charles edelstenne,2.1,82,france,aviation,manufacturing
1001,alceu elias feldmann,2.1,70,brazil,fertilizer,energy
1001,jose e. feliciano,2.1,46,united states,private equity,finance & investments
1001,carlo fidani,2.1,65,canada,real estate,real estate
1001,david filo,2.1,53,united states,yahoo,technology
1001,john fisher,2.1,58,united states,gap,fashion & retail
1001,gerald ford,2.1,75,united states,banking,finance & investments
1001,gordon getty,2.1,86,united states,getty oil,energy
1001,philip & cristina green,2.1,68,united kingdom,fashion retail,fashion & retail
1001,jeffrey gundlach,2.1,61,united states,investments,finance & investments
1001,vinod & anil rai gupta,2.1,,india,electrical equipment,manufacturing
1001,mikhail gutseriev,2.1,62,russia,oil,real estate
1001,huang shih tsai,2.1,68,hong kong,real estate,real estate
1001,hui lin chit,2.1,66,china,hygiene products,manufacturing
1001,michael jordan,2.1,57,united states,charlotte hornets,endorsements
1001,dmitry kamenshchik,2.1,51,russia,airport,service
1001,kong jian min,2.1,52,china,real estate,real estate
1001,kuok khoon hong,2.1,70,singapore,palm oil,manufacturing
1001,adam kwok,2.1,37,hong kong,real estate,real estate
1001,heikki kyostila,2.1,74,finland,dental products,healthcare
1001,stephen lansdown,2.1,67,guernsey,financial services,finance & investments
1001,christian latouche,2.1,79,france,accounting services,finance & investments
1001,aerin lauder,2.1,49,united states,cosmetics,fashion & retail
1001,henry laufer,2.1,74,united states,hedge funds,finance & investments
1001,li gaiteng,2.1,47,china,hair dryers,manufacturing
1001,li weiwei,2.1,43,china,online games,technology
1001,lin jianhua & family,2.1,57,china,solar panel components,manufacturing
1001,luo liguo & family,2.1,64,china,chemicals,manufacturing
1001,igor makarov,2.1,58,russia,investments,energy
1001,najib mikati,2.1,64,lebanon,telecom,telecom
