Rank,Name,Net Worth (billions of dollars),Age,Source,Country,real source,some wealth inheritance,major wealth inheritance
#436,Thomas Struengmann,4.4,69,pharmaceuticals,Germany,,,
#436,Lucio Tan,4.4,85,diversified,Philippines,,,
#452,Igor Altushkin,4.3,48,metals,Russia,,,
#452,Jeronimo Arango,4.3,93,retail,Mexico,,,
#452,Juan Francisco Beckmann Vidal,4.3,79,tequila,Mexico,,,
#452,Chung Mong-koo,4.3,81,Hyundai,South Korea,,,
#452,Fan Hongwei,4.3,52,petrochemicals,China,,,
#452,Andrei Guriev,4.3,59,fertilizers,Russia,,,
#452,Vikram Lal,4.3,77,motorcycles,India,,,
#452,Magdalena Martullo-Blocher,4.3,50,chemicals,Switzerland,,,
#452,Gwendolyn Sontheim Meyer,4.3,57,Cargill,United States,,,
#452,Isaac Perlmutter,4.3,76,Marvel comics,United States,,,
#452,Qin Yinglin,4.3,54,pig breeding,China,,,
#452,Trevor Rees-Jones,4.3,67,oil & gas,United States,,,
#452,"Julian Robertson, Jr.",4.3,87,hedge funds,United States,,,
#452,Kjell Inge Rokke,4.3,60,"shipping, seafood",Norway,,,
#452,Gary Rollins,4.3,74,pest control,United States,,,
#452,Henry Samueli,4.3,64,semiconductors,United States,,,
#452,Jeff Sutton,4.3,59,real estate,United States,,,
#452,Wang Chuanfu,4.3,53,"batteries, automobiles",China,,,
#452,Wang Yusuo,4.3,55,natural gas distribution,China,,,
#452,Zhou Hongyi,4.3,48,security software,China,,,
#472,Stephen Bisciotti,4.2,59,"staffing, Baltimore Ravens",United States,,,
#472,Rahel Blocher,4.2,43,chemicals,Switzerland,,,
#472,Frits Goldschmeding,4.2,85,temp agency,Netherlands,,,
#472,"Rupert Johnson, Jr.",4.2,78,money management,United States,,,
#472,Marc Ladreit de Lacharriere,4.2,78,finance,France,,,
#472,Frank VanderSloot,4.2,70,"nutrition, wellness products",United States,,,
#478,Richard Branson,4.1,69,Virgin,United Kingdom,,,
#478,Chen Dongsheng,4.1,61,insurance,China,,,
#478,Mark Cuban,4.1,60,online media,United States,,,
#478,Dagmar Dolby,4.1,78,Dolby Laboratories,United States,,,
#478,Paul Gauselmann,4.1,84,gambling,Germany,,,
#478,Antti Herlin,4.1,62,"elevators, escalators",Finland,,,
#478,Marian Ilitch,4.1,86,Little Caesars,United States,,,
#478,Masatoshi Ito,4.1,95,retail,Japan,,,
#478,"Jeremy Jacobs, Sr.",4.1,79,food service,United States,,,
#478,Micky Jagtiani,4.1,67,retail,India,,,
#478,Kwon Hyuk-bin,4.1,45,online games,South Korea,,,
#478,Angela Leong,4.1,58,casinos,Hong Kong,,,
#478,Edwin Leong,4.1,67,real estate,Hong Kong,,,
#478,Shigenobu Nagamori,4.1,74,motors,Japan,,,
#478,Adam Neumann,4.1,40,WeWork,Israel,,,
#478,Xavier Niel,4.1,51,"internet, telecom",France,,,
#478,Axel Oberwelland,4.1,52,candy,Germany,,,
#478,"H. Ross Perot, Sr.",4.1,89,"computer services, real estate",United States,,,
#478,Thomas Pritzker,4.1,69,"hotels, investments",United States,,,
#478,Paolo & Gianfelice Mario Rocca,4.1,-,pipe manufacturing,Italy,,,
#478,Carlos Rodriguez-Pastor,4.1,60,finance,Peru,,,
#478,Randall Rollins,4.1,87,pest control,United States,,,
#478,Fred Smith,4.1,74,FedEx,United States,,,
#478,Wang Zhenhua,4.1,57,real estate,China,,,
#478,Kelcy Warren,4.1,63,pipelines,United States,,,
#478,Russ Weiner,4.1,49,energy drinks,United States,,,
#504,Ben Ashkenazy,4,49,real estate,United States,,,
#504,Anthony Bamford,4,73,construction equipment,United Kingdom,,,
#504,Bert Beveridge,4,57,vodka,United States,,,
#504,Kapil & Rahul Bhatia,4,-,airlines,India,,,
#504,Neil Bluhm,4,81,real estate,United States,,,
#504,"Austen Cargill, II.",4,68,Cargill,United States,,,
#504,"James Cargill, II.",4,70,Cargill,United States,,,
#504,Rick Caruso,4,60,real estate,United States,,,
#504,Andrew Currie,4,63,chemicals,United Kingdom,,,
#504,Jack Dangermond,4,73,mapping software,United States,,,
#504,Fang Wei,4,45,steel,China,,,
#504,Dan Friedkin,4,54,Toyota dealerships,United States,,,
#504,John Gandel,4,84,shopping malls,Australia,,,
#504,Tom Gores,4,54,private equity,United States,,,
#504,Reed Hastings,4,58,Netflix,United States,,,
#504,Huang Rulun,4,67,real estate,China,,,
#504,James Leprino,4,81,cheese,United States,,,
#504,Marianne Liebmann,4,66,Cargill,United States,,,
#504,Sudhir & Samir Mehta,4,-,diversified,India,,,
#504,Denis O'Brien,4,61,telecom,Ireland,,,
#504,Igor Olenicoff,4,76,real estate,United States,,,
#504,Dan Olsson,4,72,diversified,Sweden,,,
#504,John Reece,4,62,chemicals,United Kingdom,,,
#504,Jerry Speyer,4,79,real estate,United States,,,
#504,Rita Tong Liu,4,71,real estate,Hong Kong,,,
#529,John Brown,3.9,84,medical equipment,United States,,,
#529,Hubert Burda,3.9,79,publishing,Germany,,,
#529,Ashwin Dani,3.9,76,paints,India,,,
#529,Ronald Lauder,3.9,75,Estee Lauder,United States,,,
#529,Samuel Tak Lee,3.9,80,real estate,Hong Kong,,,
#529,Liang Wengen,3.9,62,construction equipment,China,,,
#529,Lin Li,3.9,56,investments,China,,,
#529,Lin Shu-Hong,3.9,90,petrochemicals,Taiwan,,,
#529,Fredrik Lundberg,3.9,67,"real estate, investments",Sweden,,,
#529,Gabe Newell,3.9,56,videogames,United States,,,
#529,Ravi Pillai,3.9,65,construction,India,,,
#529,Friede Springer,3.9,76,publishing,Germany,,,
#529,Harry Stine,3.9,77,agriculture,United States,,,
#529,Tony Tan Caktiong,3.9,66,food,Philippines,,,
#529,Yitzhak Tshuva,3.9,71,real estate,Israel,,,
#529,Steven Udvar-Hazy,3.9,73,aircraft leasing,United States,,,
#529,Wang Wenxue,3.9,52,real estate,China,,,
#546,Anil Agarwal,3.8,65,"mining, metals",India,,,
#546,Giuseppe De'Longhi,3.8,80,coffee makers,Italy,,,
#546,Gustaf Douglas,3.8,81,investments,Sweden,,,
#546,Archie Aldis Emmerson,3.8,90,"timberland, lumber mills",United States,,,
#546,Juan Carlos Escotet,3.8,59,banking,Venezuela,,,
#546,Jensen Huang,3.8,56,semiconductors,United States,,,
#546,Erman Ilicak,3.8,51,construction,Turkey,,,
#546,H. Fisk Johnson,3.8,61,cleaning products,United States,,,
#546,S. Curtis Johnson,3.8,64,cleaning products,United States,,,
#546,Helen Johnson-Leipold,3.8,62,cleaning products,United States,,,
#546,Winifred Johnson-Marquart,3.8,60,cleaning products,United States,,,
#546,Viatcheslav Kantor,3.8,65,"fertilizer, real estate",Russia,,,
#546,Barry Lam,3.8,70,electronics,Taiwan,,,
#546,Ronald McAulay,3.8,83,energy,Hong Kong,,,
#546,Janice McNair,3.8,82,"energy, sports",United States,,,
#546,"Henry Nicholas, III.",3.8,59,semiconductors,United States,,,
#546,Julio Ponce Lerou,3.8,73,fertilizer,Chile,,,
#546,Ira Rennert,3.8,85,investments,United States,,,
#546,Teddy Sagi,3.8,47,gambling software,Israel,,,
#546,Roger Wang,3.8,70,retail,United States,,,
#546,Wei Jianjun,3.8,55,automobiles,China,,,
#546,Yao Liangsong,3.8,54,furniture,China,,,
#568,Nathan Blecharczyk,3.7,36,Airbnb,United States,,,
#568,Alain Bouchard,3.7,70,retail,Canada,,,
#568,Martin & Olivier Bouygues,3.7,-,"construction, media",France,,,
#568,Brian Chesky,3.7,37,Airbnb,United States,,,
#568,Barry Diller,3.7,77,online media,United States,,,
#568,Traudl Engelhorn,3.7,92,"pharmaceuticals, medical equipment",Germany,,,
#568,Miguel Fluxa Rossello,3.7,80,hotels,Spain,,,
#568,Yakir Gabay,3.7,53,real estate,Cyprus,,,
#568,Joe Gebbia,3.7,37,Airbnb,United States,,,
#568,Mikhail Gutseriev,3.7,61,"oil, real estate",Russia,,,
#568,Andreas Halvorsen,3.7,58,hedge funds,Norway,,,
#568,Samvel Karapetyan,3.7,53,real estate,Russia,,,
#568,Lai Meisong,3.7,48,package delivery,China,,,
#568,Douglas Leone,3.7,62,venture capital,United States,,,
#568,Li Wa,3.7,53,real estate,Hong Kong,,,
#568,Erwin Franz Mueller,3.7,86,drugstores,Germany,,,
#568,Theo Mueller,3.7,79,dairy,Germany,,,
#568,Pan Zhengmin,3.7,49,electronics,China,,,
#568,Issad Rebrab,3.7,75,food,Algeria,,,
#568,Wolfgang Reimann,3.7,66,consumer goods,Germany,,,
#568,Matthias Reimann-Andersen,3.7,54,consumer goods,Germany,,,
#568,Stefan Reimann-Andersen,3.7,56,consumer goods,Germany,,,
#568,Renate Reimann-Haas,3.7,67,consumer goods,Germany,,,
#568,Richard Schulze,3.7,78,Best Buy,United States,,,
#568,Steven Spielberg,3.7,72,Movies,United States,,,
#568,Suh Kyung-bae,3.7,56,cosmetics,South Korea,,,
#568,Chairul Tanjung,3.7,57,diversified,Indonesia,,,
#568,Murat Ulker,3.7,60,food,Turkey,,,
#568,Zhou Jianping,3.7,59,fashion retail,China,,,
#597,Brian Acton,3.6,47,WhatsApp,United States,,,
#597,Hasmukh Chudgar,3.6,85,pharmaceuticals,India,,,
#597,Rafael Del Pino y Calvo-Sotelo,3.6,61,construction,Spain,,,
#597,Oleg Deripaska,3.6,51,"aluminum, utilities",Russia,,,
#597,Judy Faulkner,3.6,75,health IT,United States,,,
#597,Jaime Gilinski Bacal,3.6,61,banking,Colombia,,,
#597,Peter Hargreaves,3.6,72,financial services,United Kingdom,,,
#597,Lin Bin,3.6,51,smartphones,United States,,,
#597,Masahiro Miki,3.6,63,shoes,Japan,,,
#597,Michael Milken,3.6,73,investments,United States,,,
#597,Yuri Milner,3.6,57,tech investments,Russia,,,
#597,Hans Georg Naeder,3.6,57,prosthetics,Germany,,,
#597,James Packer,3.6,51,casinos,Australia,,,
#597,Pankaj Patel,3.6,66,pharmaceuticals,India,,,
#597,Qiu Guanghe,3.6,67,fashion retail,China,,,
#597,Mitchell Rales,3.6,62,"manufacturing, investments",United States,,,
#597,"Bernard Saul, II.",3.6,87,"banking, real estate",United States,,,
#597,Donald Sterling,3.6,85,real estate,United States,,,
#597,Chip Wilson,3.6,62,Lululemon,Canada,,,
#597,Zhang Xin & Pan Shiyi,3.6,53,real estate,China,,,
#617,Andrej Babis,3.5,64,agriculture,Czech Republic,,,
#617,Ursula Bechtolsheimer-Kipp,3.5,67,retail,Germany,,,
#617,Chu Mang Yee,3.5,59,real estate,China,,,
#617,Scott Cook,3.5,66,software,United States,,,
#617,Ralph Dommermuth,3.5,55,internet service provider,Germany,,,
#617,Ken Fisher,3.5,68,money management,United States,,,
#617,Lindsay Fox,3.5,82,"logistics, real estate",Australia,,,
#617,Sergei Galitsky,3.5,51,retail,Russia,,,
#617,Tom Golisano,3.5,77,payroll services,United States,,,
#617,Philip & Cristina Green,3.5,67,fashion retail,United Kingdom,,,
#617,Martin Haefner,3.5,65,"software, investments",Switzerland,,,
#617,Joshua Harris,3.5,54,private equity,United States,,,
#617,Zarakh Iliev,3.5,52,real estate,Russia,,,
#617,"Edward Johnson, IV.",3.5,54,money management,United States,,,
#617,Elizabeth Johnson,3.5,56,money management,United States,,,
#617,Min Kao,3.5,70,navigation equipment,United States,,,
#617,Li Ge,3.5,52,biotech,United States,,,
#617,Lu Zhiqiang,3.5,66,real estate,China,,,
#617,Kiran Mazumdar-Shaw,3.5,66,biotech,India,,,
#617,Pawan Munjal,3.5,65,motorcycles,India,,,
#617,Nie Tengyun,3.5,43,logistics,China,,,
#617,God Nisanov,3.5,47,real estate,Russia,,,
#617,Akio Nitori,3.5,75,home furnishings,Japan,,,
#617,Daniel Och,3.5,58,hedge funds,United States,,,
#617,Prajogo Pangestu,3.5,75,petrochemicals,Indonesia,,,
#617,Howard Schultz,3.5,66,Starbucks,United States,,,
#617,Shaul Shani,3.5,64,telecom,Israel,,,
#617,Radovan Vitek,3.5,48,real estate,Czech Republic,,,
#645,Jose Joao Abdalla Filho,3.4,74,investments,Brazil,,,
#645,Charles Cohen,3.4,67,real estate,United States,,,
#645,Ding Shijia,3.4,55,sportswear,China,,,
#645,Ding Shizhong,3.4,48,sports apparel,China,,,
#645,Murali Divi,3.4,68,pharmaceuticals,India,,,
#645,Jeff Greene,3.4,64,"real estate, investments",United States,,,
#645,Jason Jiang,3.4,46,advertising,China,,,
#645,Peter Kellogg,3.4,76,investments,United States,,,
#645,Ken Langone,3.4,83,investments,United States,,,
#645,Lau Cho Kun,3.4,83,"palm oil, property",Malaysia,,,
#645,Arnon Milchan,3.4,74,movie making,Israel,,,
#645,Katharina Otto-Bernstein,3.4,55,real estate,Germany,,,
#645,Rodger Riney,3.4,73,discount brokerage,United States,,,
#645,Alejandro Santo Domingo,3.4,42,beer,United States,,,
#645,Andres Santo Domingo,3.4,41,beer,United States,,,
#645,Vivek Chaand Sehgal,3.4,62,auto parts,Australia,,,
#645,Herb Simon,3.4,84,real estate,United States,,,
#645,Jon Stryker,3.4,61,medical equipment,United States,,,
#645,Bulat Utemuratov,3.4,61,"mining, banking, hotels",Kazakhstan,,,
#645,Meg Whitman,3.4,62,eBay,United States,,,
#645,Arne Wilhelmsen,3.4,89,cruise ships,Norway,,,
#645,Zhang Li,3.4,66,real estate,China,,,
#667,John Arnold,3.3,45,hedge funds,United States,,,
#667,David Bonderman,3.3,76,private equity,United States,,,
#667,Vanich Chaiyawan,3.3,87,"insurance, beverages",Thailand,,,
#667,Pollyanna Chu,3.3,61,financial services,Hong Kong,,,
#667,Martin Ebner,3.3,73,investments,Switzerland,,,
#667,Allan Goldman,3.3,76,real estate,United States,,,
#667,Jane Goldman,3.3,63,real estate,United States,,,
#667,Amy Goldman Fowler,3.3,65,real estate,United States,,,
#667,Daniela Herz,3.3,65,coffee,Germany,,,
#667,Guenter Herz,3.3,78,coffee,Germany,,,
#667,"Amos Hostetter, Jr.",3.3,82,cable television,United States,,,
#667,Huang Shilin,3.3,52,batteries,China,,,
#667,Arthur Irving,3.3,89,oil,Canada,,,
#667,Diane Kemper,3.3,73,real estate,United States,,,
#667,Joe Mansueto,3.3,62,investment research,United States,,,
#667,Michael Moritz,3.3,64,venture capital,United States,,,
#667,Jay Paul,3.3,72,real estate,United States,,,
#667,Michael Pieper,3.3,73,kitchen appliances,Switzerland,,,
#667,Prasert Prasarttong-Osoth,3.3,86,hospitals,Thailand,,,
#667,Anthony Pritzker,3.3,58,"hotels, investments",United States,,,
#667,Nicolas Puech,3.3,76,Hermes,France,,,
#667,Maria-Elisabeth Schaeffler-Thumann,3.3,77,auto parts,Germany,,,
#667,Romesh T. Wadhwani,3.3,71,software,United States,,,
#667,Zhang Hongwei,3.3,64,"oil, banking",China,,,
#691,Suhail Bahwan,3.2,80,diversified,Oman,,,
#691,Sid Bass,3.2,77,"oil, investments",United States,,,
#691,Cao Longxiang,3.2,61,pharmaceuticals,China,,,
#691,Jean-Pierre Cayard,3.2,76,spirits,France,,,
#691,Chey Tae-won,3.2,58,"oil, semiconductor",South Korea,,,
#691,John Coates,3.2,49,online gambling,United Kingdom,,,
#691,Antonio Del Valle Ruiz,3.2,80,chemicals,Mexico,,,
#691,Luca Garavoglia,3.2,50,spirits,Italy,,,
#691,"Ernest Garcia, II.",3.2,62,used cars,United States,,,
#691,Igor Kesaev,3.2,52,"tobacco distribution, retail",Russia,,,
#691,Jane Lauder,3.2,46,cosmetics,United States,,,
#691,Liu Zhongtian,3.2,55,aluminum products,China,,,
#691,Lu Zhongfang,3.2,76,automobile service,China,,,
#691,Vincent McMahon,3.2,73,Entertainment,United States,,,
#691,Maren Otto,3.2,-,"retail, real estate",Germany,,,
#691,Alexander Ponomarenko,3.2,54,"real estate, airport",Russia,,,
#691,J.B. Pritzker,3.2,54,"hotels, investments",United States,,,
#691,Dirk Rossmann,3.2,72,drugstores,Germany,,,
#691,Lynn Schusterman,3.2,80,"oil & gas, investments",United States,,,
#691,Mark Shoen,3.2,68,U-Haul,United States,,,
#691,Paul Singer,3.2,74,hedge funds,United States,,,
#691,Alexander Skorobogatko,3.2,51,"real estate, airport",Russia,,,
#691,Michal Solowow,3.2,57,investments,Poland,,,
#691,Yu Yong,3.2,58,mining,China,,,
#715,Clifford Asness,3.1,52,Investment Management,United States,,,
#715,Carl Bennet,3.1,67,investments,Sweden,,,
#715,Alejandro Bulgheroni,3.1,74,oil & gas,Argentina,,,
#715,John Catsimatidis,3.1,70,"oil, real estate",United States,,,
#715,Richard Chandler,3.1,60,investments,New Zealand,,,
#715,Mahendra Choksi,3.1,78,paints,India,,,
#715,"Chase Coleman, III.",3.1,44,hedge fund,United States,,,
#715,Abilio dos Santos Diniz,3.1,82,retail,Brazil,,,
#715,Bernard Ecclestone,3.1,88,Formula One,United Kingdom,,,
#715,Don Hankey,3.1,76,auto loans,United States,,,
#715,Christopher Hohn,3.1,52,Hedge funds,United Kingdom,,,
#715,Heidi Horten,3.1,78,retail,Austria,,,
#715,Huang Chulong,3.1,60,real estate,Canada,,,
#715,Daryl Katz,3.1,57,pharmacies,Canada,,,
#715,Karel Komarek,3.1,50,lotteries,Czech Republic,,,
#715,Timur Kulibaev,3.1,52,banking,Kazakhstan,,,
#715,Dinara Kulibaeva,3.1,51,banking,Kazakhstan,,,
#715,Li Sze Lim,3.1,62,real estate,Hong Kong,,,
#715,John Middleton,3.1,64,tobacco,United States,,,
#715,Elisabeth Mohn,3.1,78,publishing,Germany,,,
#715,Fernando Roberto Moreira Salles,3.1,73,"banking, minerals",Brazil,,,
#715,Joao Moreira Salles,3.1,57,"banking, minerals",Brazil,,,
#715,Pedro Moreira Salles,3.1,59,"banking, minerals",Brazil,,,
#715,Walther Moreira Salles Junior,3.1,63,"banking, minerals",Brazil,,,
#715,Jean (Gigi) Pritzker,3.1,57,"hotels, investments",United States,,,
#715,Gil Shwed,3.1,51,software,Israel,,,
#715,Kerry Stokes,3.1,78,"construction equipment, media",Australia,,,
#715,Donald Trump,3.1,73,"television, real estate",United States,,,
#715,Don Vultaggio,3.1,67,AriZona Beverages,United States,,,
#715,Mark Walter,3.1,59,finance,United States,,,
#745,Juergen Blickle,3,72,auto parts,Germany,,,
#745,Jim Breyer,3,57,venture capital,United States,,,
#745,Do Won & Jin Sook Chang,3,63,fashion retail,United States,,,
#745,Pierre Chen,3,62,electronics,Taiwan,,,
#745,Leon G. Cooperman,3,76,hedge funds,United States,,,
#745,Andre Esteves,3,51,banking,Brazil,,,
#745,Bob Gaglardi,3,78,hotels,Canada,,,
#745,Jeffery Hildebrand,3,60,oil,United States,,,
#745,James Jannard,3,70,sunglasses,United States,,,
#745,Kwek Leng Beng,3,78,real estate,Singapore,,,
#745,Guenther Lehmann,3,-,drugstores,Germany,,,
#745,Joseph Liemandt,3,50,Software,United States,,,
#745,Rudolf Maag,3,73,medical devices,Switzerland,,,
#745,Arturo Moreno,3,72,"billboards, Anaheim Angels",United States,,,
#745,Georg Nemetschek,3,85,software,Germany,,,
#745,Horst Paulmann,3,84,retail,Chile,,,
#745,Alberto Roemmers,3,92,pharmaceuticals,Argentina,,,
#745,Juan Roig,3,69,supermarkets,Spain,,,
#745,Marc Rowan,3,56,private equity,United States,,,
#745,Michael Rubin,3,46,online retail,United States,,,
#745,Patrick Ryan,3,82,insurance,United States,,,
#745,Alvaro Saieh Bendeck,3,69,banking,Chile,,,
#745,Lynsi Snyder,3,37,In-N-Out Burger,United States,,,
#745,David Steward,3,68,IT provider,United States,,,
#745,Georg Stumpf,3,46,"real estate, construction",Austria,,,
#745,Hans Peter Wild,3,78,flavorings,Switzerland,,,
#745,Gustav Magnar Witzoe,3,26,fish farming,Norway,,,
#745,Steve Wynn,3,77,"casinos, hotels",United States,,,
#745,Christoph Zeller,3,62,dental implants,Liechtenstein,,,
#745,Zhou Qunfei,3,49,smartphone screens,Hong Kong,,,
#775,Ramon Ang,2.9,65,Diversified,Philippines,,,
#775,Michael Ashley,2.9,54,sports retailing,United Kingdom,,,
#775,Yvonne Bauer,2.9,42,media,Germany,,,
#775,Anne Beaufour,2.9,55,pharmaceuticals,France,,,
#775,Henri Beaufour,2.9,54,pharmaceuticals,France,,,
#775,Gayle Benson,2.9,72,pro sports teams,United States,,,
#775,Timothy Boyle,2.9,69,Columbia Sportswear,United States,,,
#775,Nick Caporella,2.9,83,beverages,United States,,,
#775,Cheng Xue,2.9,49,soy sauce,China,,,
#775,"Edward DeBartolo, Jr.",2.9,72,shopping centers,United States,,,
#775,Rakesh Gangwal,2.9,65,airline,United States,,,
#775,Peter Gilgan,2.9,68,homebuilding,Canada,,,
#775,Daniel Kretinsky,2.9,44,energy generation,Czech Republic,,,
#775,Geoffrey Kwok,2.9,34,real estate,Hong Kong,,,
#775,Martin Lorentzon,2.9,50,Spotify,Sweden,,,
#775,Luo Jye,2.9,93,tires,Taiwan,,,
#775,Miguel McKelvey,2.9,45,WeWork,United States,,,
#775,Tom Morris,2.9,64,retail,United Kingdom,,,
#775,Chandru Raheja,2.9,78,real estate,India,,,
#775,Naguib Sawiris,2.9,65,telecom,Egypt,,,
#775,Thomas Siebel,2.9,66,business software,United States,,,
#775,Charles Simonyi,2.9,70,Microsoft,United States,,,
#775,Thomas Straumann,2.9,55,dental implants,Switzerland,,,
#775,Su Hua,2.9,37,video streaming,China,,,
#775,Tsai Hong-tu,2.9,66,finance,Taiwan,,,
#775,Richard Tsai,2.9,62,finance,Taiwan,,,
#775,Tung Chee Chen,2.9,76,shipping,Hong Kong,,,
#775,Wang Linpeng,2.9,51,furniture retailing,China,,,
#775,Mortimer Zuckerman,2.9,82,"real estate, media",United States,,,
#804,Patrizio Bertelli,2.8,73,luxury goods,Italy,,,
#804,Jim Davis,2.8,59,staffing & recruiting,United States,,,
#804,Fong Yun Wah,2.8,94,real estate,Hong Kong,,,
#804,Geng Jianming,2.8,56,real estate,China,,,
#804,Jonathan Gray,2.8,49,investments,United States,,,
#804,Vinod & Anil Rai Gupta,2.8,-,electrical equipment,India,,,
#804,Thomas Hagen,2.8,83,insurance,United States,,,
#804,B. Wayne Hughes,2.8,85,self storage,United States,,,
#804,Johnelle Hunt,2.8,87,trucking,United States,,,
#804,Hedda im Brahm-Droege,2.8,64,consulting,Germany,,,
#804,Rakesh Jhunjhunwala,2.8,59,investments,India,,,
#804,Dmitry Kamenshchik,2.8,51,airport,Russia,,,
#804,Raj Kumar & Kishin RK,2.8,65,real estate,Singapore,,,
#804,Lim Sung-ki,2.8,79,pharmaceuticals,South Korea,,,
#804,Mangal Prabhat Lodha,2.8,63,real estate,India,,,
#804,Daniel Loeb,2.8,57,hedge funds,United States,,,
#804,Luo Liguo,2.8,63,chemicals,China,,,
#804,Mary Alice Dorrance Malone,2.8,69,Campbell Soup,United States,,,
#804,Kalanithi Maran,2.8,53,media,India,,,
#804,Philip Niarchos,2.8,65,art collection,Greece,,,
#804,Richard Peery,2.8,80,real estate,United States,,,
#804,Sebastian Piñera,2.8,69,investments,Chile,,,
#804,Miuccia Prada,2.8,70,luxury goods,Italy,,,
#804,P.V. Ramprasad Reddy,2.8,61,pharmaceuticals,India,,,
#804,J. Joe Ricketts,2.8,78,TD Ameritrade,United States,,,
#804,Shashi & Ravi Ruia,2.8,-,diversified,India,,,
#804,Haim Saban,2.8,74,"TV network, investments",United States,,,
#804,Thomas Secunda,2.8,65,Bloomberg LP,United States,,,
#804,B.R. Shetty,2.8,77,healthcare,India,,,
#804,Glen Taylor,2.8,78,printing,United States,,,
#804,Tsai Cheng-ta,2.8,69,finance,Taiwan,,,
#804,Tse Ping,2.8,67,pharmaceuticals,China,,,
#804,"William Wrigley, Jr.",2.8,55,chewing gum,United States,,,
#804,Zhang Xuexin,2.8,72,aluminum,China,,,
#838,Mohed Altrad,2.7,71,"scaffolding, cement mixers",France,,,
#838,Carlos Ardila Lülle,2.7,89,"soft drinks, diversified",Colombia,,,
#838,Riley Bechtel,2.7,67,"engineering, construction",United States,,,
#838,"Stephen Bechtel, Jr.",2.7,94,"engineering, construction",United States,,,
#838,Rainer Blickle,2.7,72,auto parts,Germany,,,
#838,Andrew & Peggy Cherng,2.7,-,restaurants,United States,,,
#838,"William Conway, Jr.",2.7,69,private equity,United States,,,
#838,Smita Crishna-Godrej,2.7,68,consumer goods,India,,,
#838,Daniel D'Aniello,2.7,72,private equity,United States,,,
#838,Pavel Durov,2.7,34,messaging app,Russia,,,
#838,Feng Hailiang,2.7,58,"copper, education",China,,,
#838,Piero Ferrari,2.7,74,automobiles,Italy,,,
#838,Gerald Ford,2.7,74,banking,United States,,,
#838,Alexander Frolov,2.7,55,"mining, steel",Russia,,,
#838,Adi Godrej,2.7,77,consumer goods,India,,,
#838,Jamshyd Godrej,2.7,70,consumer goods,India,,,
#838,Nadir Godrej,2.7,68,consumer goods,India,,,
#838,Mitchell Goldhar,2.7,58,real estate,Canada,,,
#838,Otto Happel,2.7,71,engineering,Germany,,,
#838,Jimmy Haslam,2.7,65,"gas stations, retail",United States,,,
#838,John Henry,2.7,69,sports,United States,,,
#838,James Irsay,2.7,60,Indianapolis Colts,United States,,,
#838,Spiro Latsis,2.7,72,"banking, shipping",Greece,,,
#838,Rishad Naoroji,2.7,67,consumer goods,India,,,
#838,Park Yeon-cha,2.7,73,sneakers,South Korea,,,
#838,Qi Shi,2.7,49,financial information,China,,,
#838,Jeff Rothschild,2.7,64,Facebook,United States,,,
#838,David Rubenstein,2.7,69,private equity,United States,,,
#838,Phil Ruffin,2.7,84,"casinos, real estate",United States,,,
#838,Richard Sands,2.7,68,Liquor,United States,,,
#838,Robert Sands,2.7,61,Liquor,United States,,,
#838,E. Joe Shoen,2.7,69,U-Haul,United States,,,
#838,Eric Smidt,2.7,59,hardware stores,United States,,,
#838,Zygmunt Solorz-Zak,2.7,62,TV broadcasting,Poland,,,
#838,Andrew Tan,2.7,66,diversified,Philippines,,,
#838,Vincent Viola,2.7,63,electronic trading,United States,,,
#838,Wu Zhigang,2.7,84,bakery chain,China,,,
#838,Micree Zhan,2.7,40,Cryptocurrency mining chips,China,,,
#838,Zhang Wenzhong,2.7,57,supermarkets,China,,,
#877,Juan Abello,2.6,77,investments,Spain,,,
#877,Giuliana Benetton,2.6,82,"fashion retail, investments",Italy,,,
#877,Luciano Benetton,2.6,84,"fashion retail, investments",Italy,,,
#877,Choo Chong Ngen,2.6,66,hotels,Singapore,,,
#877,Chung Eui-sun,2.6,48,logistics,South Korea,,,
#877,Gustavo Denegri,2.6,83,biotech,Italy,,,
#877,Ennio Doris,2.6,79,financial services,Italy,,,
#877,"John Dorrance, III.",2.6,75,Campbell Soup,Ireland,,,
#877,Charles Edelstenne,2.6,81,aviation,France,,,
#877,Alfredo Egydio Arruda Villela Filho,2.6,49,banking,Brazil,,,
#877,Doris Fisher,2.6,87,Gap,United States,,,
#877,John Fisher,2.6,58,Gap,United States,,,
#877,Fu Liquan,2.6,51,surveillance equipment,China,,,
#877,Noam Gottesman,2.6,58,hedge funds,United States,,,
#877,Michael Hintze,2.6,65,investment,Australia,,,
#877,Randal Kirk,2.6,65,pharmaceuticals,United States,,,
#877,Kurt Krieger,2.6,71,furniture retailing,Germany,,,
#877,Hans Langer,2.6,67,3D printing,Germany,,,
#877,Li Liufa,2.6,62,"steel, diversified",China,,,
#877,Aloke Lohia,2.6,60,petrochemicals,India,,,
#877,Melissa Ma,2.6,49,internet search,China,,,
#877,Or Wai Sheun,2.6,68,real estate,Hong Kong,,,
#877,Ou Zongrong,2.6,55,real estate,China,,,
#877,Sean Parker,2.6,39,Facebook,United States,,,
#877,Jorge Perez,2.6,69,real estate,United States,,,
#877,John Pritzker,2.6,65,"hotels, investments",United States,,,
#877,Penny Pritzker,2.6,60,"hotels, investments",United States,,,
#877,Horst Julius Pudwill,2.6,74,manufacturing,Germany,,,
